instance,dataset,min,avg,method
frb30-15-3,bhoslib,11,11.9,ILPS3
frb30-15-3,bhoslib,11,11,MAE-PB
frb30-15-4,bhoslib,12,12,GRASP+PC
frb30-15-4,bhoslib,11,11,MEMETIC
frb30-15-4,bhoslib,11,11,drMIDS
frb30-15-4,bhoslib,11,11.2,ILPS2
frb30-15-4,bhoslib,11,11.7,ILPS3
frb30-15-4,bhoslib,11,11,MAE-PB
frb30-15-5,bhoslib,11,11.2,GRASP+PC
frb30-15-5,bhoslib,11,11.3,MEMETIC
frb30-15-5,bhoslib,11,11,drMIDS
frb30-15-5,bhoslib,11,11.7,ILPS2
frb30-15-5,bhoslib,11,11.9,ILPS3
frb30-15-5,bhoslib,11,11,MAE-PB
frb35-17-1,bhoslib,14,14,GRASP+PC
frb35-17-1,bhoslib,13,13.6,MEMETIC
frb35-17-1,bhoslib,13,13,drMIDS
frb35-17-1,bhoslib,13,13.9,ILPS2
frb35-17-1,bhoslib,13,14,ILPS3
frb35-17-1,bhoslib,13,13,MAE-PB
frb35-17-2,bhoslib,13,13.7,GRASP+PC
frb35-17-2,bhoslib,13,13.9,MEMETIC
frb35-17-2,bhoslib,13,13,drMIDS
frb35-17-2,bhoslib,13,13.8,ILPS2
frb35-17-2,bhoslib,13,14,ILPS3
frb35-17-2,bhoslib,13,13,MAE-PB
frb35-17-3,bhoslib,13,13.3,GRASP+PC
frb35-17-3,bhoslib,13,13.6,MEMETIC
frb35-17-3,bhoslib,13,13,drMIDS
frb35-17-3,bhoslib,13,13.8,ILPS2
frb35-17-3,bhoslib,13,14,ILPS3
frb35-17-3,bhoslib,13,13,MAE-PB
frb35-17-4,bhoslib,14,14,GRASP+PC
frb35-17-4,bhoslib,13,13.9,MEMETIC
frb35-17-4,bhoslib,13,13.3,drMIDS
frb35-17-4,bhoslib,13,13.8,ILPS2
frb35-17-4,bhoslib,13,13.9,ILPS3
frb35-17-4,bhoslib,13,13.3,MAE-PB
frb35-17-5,bhoslib,14,14,GRASP+PC
frb35-17-5,bhoslib,14,14,MEMETIC
frb35-17-5,bhoslib,13,13.6,drMIDS
frb35-17-5,bhoslib,14,14,ILPS2
frb35-17-5,bhoslib,14,14.2,ILPS3
frb35-17-5,bhoslib,13,13.4,MAE-PB
frb40-19-1,bhoslib,16,16,GRASP+PC
frb40-19-1,bhoslib,16,16,MEMETIC
frb40-19-1,bhoslib,15,15.4,drMIDS
frb40-19-1,bhoslib,16,16.1,ILPS2
frb40-19-1,bhoslib,16,16.6,ILPS3
frb40-19-1,bhoslib,15,15,MAE-PB
frb40-19-2,bhoslib,16,16,GRASP+PC
frb40-19-2,bhoslib,15,15.9,MEMETIC
frb40-19-2,bhoslib,15,15,drMIDS
frb40-19-2,bhoslib,15,15.7,ILPS2
frb40-19-2,bhoslib,16,16.1,ILPS3
frb40-19-2,bhoslib,15,15,MAE-PB
frb40-19-3,bhoslib,15,15.6,GRASP+PC
frb40-19-3,bhoslib,15,15.9,MEMETIC
frb40-19-3,bhoslib,15,15,drMIDS
frb40-19-3,bhoslib,15,15.8,ILPS2
frb40-19-3,bhoslib,15,16.1,ILPS3
frb40-19-3,bhoslib,15,15,MAE-PB
frb40-19-4,bhoslib,15,15.4,GRASP+PC
frb40-19-4,bhoslib,15,15.9,MEMETIC
frb40-19-4,bhoslib,15,15,drMIDS
frb40-19-4,bhoslib,15,15.7,ILPS2
frb40-19-4,bhoslib,15,16,ILPS3
frb40-19-4,bhoslib,15,15,MAE-PB
frb40-19-5,bhoslib,15,15.7,GRASP+PC
frb40-19-5,bhoslib,15,15.9,MEMETIC
