instance,dataset,avg,method,lbs,ardp,log_ratio
frb35-17-4,bhoslib,13.3,MAE,2,565,1.8946168546677629
frb35-17-4,bhoslib,4,GREEDY,2,100,0.6931471805599453
frb35-17-5,bhoslib,14,GRASP,2,600,1.9459101490553132
frb35-17-5,bhoslib,14,MEMETIC,2,600,1.9459101490553132
frb35-17-5,bhoslib,13.6,drMIDS,2,580,1.916922612182061
frb35-17-5,bhoslib,14,ILPS2,2,600,1.9459101490553132
frb35-17-5,bhoslib,14.2,ILPS3,2,610,1.9600947840472698
frb35-17-5,bhoslib,13.4,MAE,2,570,1.9021075263969205
frb35-17-5,bhoslib,5,GREEDY,2,150,0.9162907318741551
frb40-19-1,bhoslib,16,GRASP,2,700,2.0794415416798357
frb40-19-1,bhoslib,16,MEMETIC,2,700,2.0794415416798357
frb40-19-1,bhoslib,15.4,drMIDS,2,670,2.0412203288596382
frb40-19-1,bhoslib,16.1,ILPS2,2,705.0000000000001,2.0856720914304723
frb40-19-1,bhoslib,16.6,ILPS3,2,730.0000000000001,2.1162555148025524
frb40-19-1,bhoslib,15,MAE,2,650,2.0149030205422647
frb40-19-1,bhoslib,4,GREEDY,2,100,0.6931471805599453
frb40-19-2,bhoslib,16,GRASP,2,700,2.0794415416798357
frb40-19-2,bhoslib,15.9,MEMETIC,2,695,2.0731719286662407
frb40-19-2,bhoslib,15,drMIDS,2,650,2.0149030205422647
frb40-19-2,bhoslib,15.7,ILPS2,2,685,2.060513531794317
frb40-19-2,bhoslib,16.1,ILPS3,2,705.0000000000001,2.0856720914304723
frb40-19-2,bhoslib,15,MAE,2,650,2.0149030205422647
frb40-19-2,bhoslib,4.266666666666667,GREEDY,2,113.33333333333333,0.7576857016975165
frb40-19-3,bhoslib,15.6,GRASP,2,680,2.0541237336955462
frb40-19-3,bhoslib,15.9,MEMETIC,2,695,2.0731719286662407
frb40-19-3,bhoslib,15,drMIDS,2,650,2.0149030205422647
frb40-19-3,bhoslib,15.8,ILPS2,2,690,2.066862759472976
frb40-19-3,bhoslib,16.1,ILPS3,2,705.0000000000001,2.0856720914304723
frb40-19-3,bhoslib,15,MAE,2,650,2.0149030205422647
frb40-19-3,bhoslib,5,GREEDY,2,150,0.9162907318741551
frb40-19-4,bhoslib,15.4,GRASP,2,670,2.0412203288596382
frb40-19-4,bhoslib,15.9,MEMETIC,2,695,2.0731719286662407
frb40-19-4,bhoslib,15,drMIDS,2,650,2.0149030205422647
frb40-19-4,bhoslib,15.7,ILPS2,2,685,2.060513531794317
frb40-19-4,bhoslib,16,ILPS3,2,700,2.0794415416798357
frb40-19-4,bhoslib,15,MAE,2,650,2.0149030205422647
frb40-19-4,bhoslib,3.8666666666666667,GREEDY,2,93.33333333333333,0.659245628884264
frb40-19-5,bhoslib,15.7,GRASP,2,685,2.060513531794317
frb40-19-5,bhoslib,15.9,MEMETIC,2,695,2.0731719286662407
frb40-19-5,bhoslib,15.2,drMIDS,2,660,2.028148247292285
