instances,times
brock200-4,0.420895099639893
gen200-p0-9-55,0.128285884857178
hamming8-4,0.0903081893920898
johnson8-4-4,0.0179359912872314
C4000-5,13.0978901386261
C2000-5,3.43159222602844
brock800-4,1.14035081863403
frb53-24-5,2.85375499725342
frb30-15-3,0.682138919830322
frb35-17-1,0.728392839431763
san400-0-7-1,0.343512058258057
frb45-21-4,1.30002593994141
frb35-17-2,0.501814842224121
frb45-21-2,1.30908703804016
frb53-24-4,2.16921210289001
frb30-15-1,0.296306848526001
MANN-a81,16.9905200004578
frb100-40,24.8773140907288
MANN-a27,0.366434097290039
san200-0-7-2,0.0623071193695068
frb35-17-5,0.532284021377563
frb40-19-1,0.849742889404297
p-hat1500-3,2.52889513969421
frb30-15-1,0.28711199760437
C500-9,0.39840292930603
MANN-a9,0.0179488658905029
frb35-17-1,0.705654859542847
frb50-23-3,1.76502203941345
C125-9,0.0350890159606934
C250-9,0.0912711620330811
brock200-2,0.0453250408172607
MANN-a81,16.2309060096741
c-fat200-5,0.035740852355957
brock400-4,0.178331136703491
p-hat1500-1,0.915499925613403
MANN-a45,1.55499196052551
c-fat500-1,0.0434620380401611
frb50-23-2,1.67369985580444
MANN-a45,1.74862790107727
frb40-19-3,0.729614973068237
frb40-19-2,0.741889953613281
c-fat200-2,0.026853084564209
san200-0-7-2,0.219350099563599
keller4,0.0846889019012451
frb45-21-4,1.12754011154175
hamming8-4,0.0764751434326172
hamming8-4,0.0779480934143066
gen200-p0-9-55,0.105969905853271
frb50-23-1,1.72511100769043
c-fat500-1,0.0901670455932617
hamming8-2,0.102754831314087
C125-9,0.0307819843292236
C1000-9,1.29009604454041
p-hat700-3,0.558012008666992
frb35-17-1,0.490880012512207
san200-0-9-3,0.0601420402526855
gen400-p0-9-55,0.251335144042969
p-hat700-3,0.555284976959229
p-hat1500-1,0.8786780834198
johnson8-2-4,0.016287088394165
frb45-21-5,1.12882709503174
johnson32-2-4,0.544058084487915
frb53-24-5,2.04599213600159
frb59-26-1,3.06965303421021
san200-0-9-2,0.0640549659729004
frb50-23-2,1.90884494781494
keller5,0.711570024490356
hamming6-2,0.0212249755859375
DSJC1000-5,0.787508964538574
brock400-2,0.22065806388855
c-fat500-2,0.0488851070404053
frb35-17-4,0.463849067687988
p-hat700-3,0.600872993469238
johnson8-2-4,0.0207021236419678
san200-0-9-2,0.132004976272583
san400-0-7-2,0.172347068786621
MANN-a81,15.8774020671844
frb30-15-5,0.313217163085938
frb50-23-2,1.81335020065308
frb30-15-4,0.283015012741089
san200-0-7-2,0.0536501407623291
frb30-15-2,0.282413005828857
frb35-17-1,0.46220588684082
gen400-p0-9-55,0.251266002655029
gen200-p0-9-44,0.0649559497833252
frb50-23-4,1.66775703430176
C125-9,0.0343050956726074
frb53-24-2,2.03970289230347
brock200-4,0.0477080345153809
keller4,0.0416030883789062
gen400-p0-9-55,0.291085004806519
c-fat200-2,0.02736496925354
brock800-2,0.630855083465576
C500-9,0.363902807235718
frb40-19-4,0.730642795562744
brock400-4,0.176591157913208
frb53-24-1,2.03224110603333
san200-0-7-1,0.055088996887207
johnson16-2-4,0.0275628566741943
MANN-a9,0.0181510448455811
frb50-23-5,1.84395003318787
gen200-p0-9-55,0.0648648738861084
p-hat300-3,0.186537981033325
frb100-40,21.5943179130554
c-fat200-5,0.0625848770141602
frb45-21-3,1.14792919158936
MANN-a27,0.401092052459717
frb35-17-2,0.521278142929077
hamming10-4,1.35925602912903
frb30-15-3,0.283936977386475
san400-0-5-1,0.124575853347778
san200-0-9-1,0.0681960582733154
frb50-23-3,2.11842203140259
frb40-19-1,0.834966897964478
frb30-15-4,0.462738990783691
frb45-21-3,1.80768990516663
frb53-24-1,2.44835186004639
hamming6-4,0.0221869945526123
frb50-23-3,1.73412013053894
frb45-21-2,1.17486786842346
p-hat1500-2,1.90160298347473
C4000-5,12.964152097702
frb50-23-3,1.83249187469482
frb40-19-1,0.768170118331909
p-hat1500-3,2.95524597167969
C250-9,0.0988049507141113
johnson8-4-4,0.0212152004241943
C125-9,0.0326371192932129
johnson16-2-4,0.0269708633422852
frb40-19-4,0.792399168014526
C4000-5,12.9268429279327
frb50-23-3,1.9712221622467
frb53-24-5,2.39448189735413
frb45-21-3,1.31389999389648
gen200-p0-9-44,0.072490930557251
gen400-p0-9-55,0.281190156936646
C2000-9,5.62990713119507
MANN-a45,1.5420708656311
frb35-17-2,0.479302167892456
frb50-23-2,1.90088701248169
C125-9,0.0379118919372559
frb53-24-2,2.46628999710083
san400-0-5-1,0.14590311050415
p-hat700-1,0.270344972610474
MANN-a81,17.4584710597992
p-hat700-2,0.445990085601807
frb40-19-3,0.864119052886963
san200-0-9-2,0.062349796295166
san200-0-9-2,0.269321918487549
C500-9,0.43382716178894
frb59-26-5,3.5403311252594
keller5,0.699751853942871
frb50-23-5,1.79798412322998
frb50-23-2,1.7039680480957
p-hat300-1,0.0502510070800781
hamming10-4,1.31296014785767
frb50-23-2,1.78692102432251
gen400-p0-9-65,0.260564804077148
san200-0-7-1,0.0546271800994873
MANN-a81,16.4342720508575
p-hat300-2,0.148159980773926
keller5,0.685006856918335
brock800-2,0.656468868255615
p-hat1500-2,1.67605113983154
san200-0-9-1,0.0603930950164795
frb59-26-3,3.01905703544617
p-hat1500-1,0.888439178466797
frb53-24-1,2.03630399703979
san400-0-7-2,0.163721084594727
MANN-a9,0.0161299705505371
p-hat700-3,0.583057165145874
p-hat700-1,0.236829996109009
frb30-15-2,0.285876989364624
p-hat700-2,0.455662965774536
frb59-26-2,3.35304689407349
frb30-15-1,0.32204008102417
c-fat200-5,0.0439910888671875
frb45-21-4,1.90959191322327
hamming8-4,0.282018899917603
MANN-a27,0.575586080551147
MANN-a45,3.08366799354553
brock400-2,0.238777875900269
MANN-a45,1.79217600822449
san200-0-9-1,0.0639290809631348
frb30-15-5,0.303649187088013
keller6,17.9166140556335
frb100-40,24.8745610713959
p-hat300-1,0.0587239265441895
frb40-19-2,0.853775024414062
san200-0-9-3,0.118352174758911
frb50-23-5,1.77894997596741
brock400-2,0.219694852828979
p-hat700-3,0.594388961791992
p-hat300-2,0.116799116134644
frb45-21-1,1.19966411590576
frb53-24-4,2.09407210350037
gen400-p0-9-65,0.262532949447632
frb35-17-3,0.476519107818604
p-hat300-2,0.083981990814209
hamming6-2,0.0230000019073486
frb35-17-5,0.493547201156616
MANN-a9,0.0153238773345947
frb53-24-4,2.20511889457703
frb53-24-3,2.19258904457092
brock200-4,0.0494270324707031
MANN-a9,0.0171990394592285
johnson16-2-4,0.214946985244751
brock200-4,0.0959429740905762
C4000-5,12.5674870014191
brock200-4,0.0515961647033691
