instances,datasets,random_numbers,solutions,iters,times
brock400_4,dimacs,356,4,3,173.4884
gen400_p0.9_75,dimacs,357,2,2,246.509
frb56-25-3,bhoslib,358,4,4,2362.74
frb53-24-5,bhoslib,359,4,3,1961.113201
frb35-17-3,bhoslib,360,3,3,409.1619
san400_0.7_3,dimacs,361,5,4,208.117501
johnson16-2-4,dimacs,362,3,3,31.637402
brock200_4,dimacs,363,4,3,94.189901
gen400_p0.9_55,dimacs,364,2,2,247.717501
frb40-19-3,bhoslib,365,5,3,665.925301
johnson32-2-4,dimacs,366,3,3,299.612901
C4000.5,dimacs,367,10,8,11694.972501
C2000.9,dimacs,368,3,3,5000.235401
brock800_4,dimacs,369,6,4,613.192001
frb100-40,bhoslib,370,5,3,21782.049801
frb30-15-4,bhoslib,371,3,3,280.243101
frb30-15-5,bhoslib,372,5,2,235.154501
san400_0.7_1,dimacs,373,4,3,210.618001
frb45-21-4,bhoslib,374,3,3,1052.195201
frb50-23-3,bhoslib,375,3,3,1605.407801
frb45-21-2,bhoslib,376,8,2,1039.1903
frb56-25-3,bhoslib,377,5,4,2401.142601
frb30-15-2,bhoslib,378,3,3,236.105701
MANN_a27,dimacs,379,2,2,201.652501
frb59-26-5,bhoslib,380,4,3,2856.367601
keller5,dimacs,381,4,4,660.394901
san200_0.7_2,dimacs,382,4,3,96.697201
frb35-17-3,bhoslib,383,3,3,458.375501
frb35-17-4,bhoslib,384,4,3,416.222101
p_hat1500-2,dimacs,385,11,9,1562.303102
frb30-15-1,bhoslib,386,4,3,277.527
C500.9,dimacs,387,2,2,311.307001
MANN_a45,dimacs,388,2,2,1437.835202
frb50-23-3,bhoslib,389,4,3,1574.036802
frb53-24-2,bhoslib,390,4,3,1997.5785
C125.9,dimacs,391,2,2,35.824601
C250.9,dimacs,392,2,2,89.730702
brock200_2,dimacs,393,5,5,65.7025
MANN_a45,dimacs,394,2,2,1464.399701
c-fat200-5,dimacs,395,3,3,40.448401
brock400_4,dimacs,396,4,3,175.5245
MANN_a9,dimacs,397,2,2,19.044602
MANN_a27,dimacs,398,2,2,204.086901
c-fat500-1,dimacs,399,32,32,101.618
frb50-23-1,bhoslib,400,7,3,1638.288701
keller6,dimacs,401,4,4,14076.859901
frb40-19-2,bhoslib,402,4,3,688.726101
frb35-17-5,bhoslib,403,5,3,475.805101
c-fat200-2,dimacs,404,7,7,34.6739
san200_0.7_1,dimacs,405,4,3,58.473101
frb45-21-2,bhoslib,406,8,2,1095.197001
frb45-21-4,bhoslib,407,3,3,1087.011901
hamming8-4,dimacs,408,8,8,76.456001
johnson16-2-4,dimacs,409,3,3,32.502901
gen400_p0.9_55,dimacs,410,2,2,249.627701
frb45-21-5,bhoslib,411,4,4,1059.088901
c-fat500-2,dimacs,412,16,16,57.149001
san400_0.7_3,dimacs,413,6,4,166.189201
C2000.5,dimacs,414,8,8,2891.220401
C1000.9,dimacs,415,3,3,1236.017501
p_hat700-2,dimacs,416,13,5,344.538402
frb40-19-3,bhoslib,417,5,3,685.051601
san200_0.9_3,dimacs,418,2,2,63.497101
gen400_p0.9_65,dimacs,419,2,2,205.183401
p_hat700-3,dimacs,420,4,4,550.984401
MANN_a9,dimacs,421,2,2,19.894902
san200_0.9_2,dimacs,422,2,2,64.899901
frb45-21-5,bhoslib,423,4,4,1058.057501
frb45-21-1,bhoslib,424,4,3,1175.216001
frb59-26-3,bhoslib,425,4,3,2959.362801
frb53-24-5,bhoslib,426,4,3,1992.439501
san200_0.9_2,dimacs,427,2,2,62.769501
frb50-23-2,bhoslib,428,5,4,1593.065001
johnson8-4-4,dimacs,429,5,3,22.536501
hamming6-4,dimacs,430,8,8,23.641801
DSJC500.5,dimacs,431,7,5,188.500001
brock400_4,dimacs,432,4,3,177.459701
c-fat500-5,dimacs,433,7,7,88.960101
frb40-19-5,bhoslib,434,6,3,690.609501
p_hat700-2,dimacs,435,13,5,385.319701
frb59-26-5,bhoslib,436,4,3,2994.294602
san200_0.9_1,dimacs,437,2,2,66.4608
san400_0.7_2,dimacs,438,4,4,165.605801
MANN_a27,dimacs,439,2,2,248.025901
frb30-15-5,bhoslib,440,5,2,235.471
frb50-23-2,bhoslib,441,4,4,1615.733
frb30-15-4,bhoslib,442,3,3,236.680501
san200_0.7_2,dimacs,443,4,3,57.599801
frb30-15-2,bhoslib,444,3,3,237.458201
frb30-15-5,bhoslib,445,4,3,283.940702
gen400_p0.9_65,dimacs,446,2,2,205.210301
gen200_p0.9_55,dimacs,447,2,2,64.3777
frb53-24-4,bhoslib,448,3,3,1992.9785
C2000.5,dimacs,449,9,7,2815.212302
frb50-23-2,bhoslib,450,5,4,1621.461602
brock200_4,dimacs,451,4,3,55.4976
san200_0.9_1,dimacs,452,2,2,63.1885
gen400_p0.9_65,dimacs,453,2,2,205.019301
c-fat200-2,dimacs,454,8,8,32.717
brock800_2,dimacs,455,6,4,586.940802
C500.9,dimacs,456,2,2,313.323501
frb40-19-2,bhoslib,457,4,3,730.366101
brock400_4,dimacs,458,4,3,178.148401
frb56-25-4,bhoslib,459,5,3,2497.220501
san200_0.7_1,dimacs,460,4,3,54.2416
frb45-21-4,bhoslib,461,3,3,1129.802802
MANN_a45,dimacs,462,2,2,1503.332901
frb53-24-4,bhoslib,463,3,3,2024.541501
gen400_p0.9_55,dimacs,464,2,2,246.379301
p_hat300-2,dimacs,465,10,5,77.285301
frb100-40,bhoslib,466,5,3,21664.783301
c-fat500-1,dimacs,467,33,33,59.795601
frb45-21-3,bhoslib,468,3,3,1061.4093
keller6,dimacs,469,4,4,13639.954502
frb30-15-5,bhoslib,470,4,3,245.748201
hamming6-2,dimacs,471,2,2,22.120701
frb30-15-3,bhoslib,472,4,3,236.731701
san400_0.5_1,dimacs,473,13,9,128.316901
san200_0.9_1,dimacs,474,2,2,63.921001
frb59-26-5,bhoslib,475,4,3,2930.815201
frb35-17-4,bhoslib,476,4,3,459.227901
frb30-15-4,bhoslib,477,3,3,234.5501
frb45-21-3,bhoslib,478,3,3,1117.902101
frb45-21-5,bhoslib,479,4,4,1037.352502
hamming8-2,dimacs,480,2,2,99.771701
frb53-24-5,bhoslib,481,4,3,1941.919501
frb45-21-2,bhoslib,482,8,2,1040.7172
MANN_a9,dimacs,483,2,2,19.6952
C4000.5,dimacs,484,9,8,11661.326001
frb50-23-1,bhoslib,485,7,3,1554.356801
frb35-17-4,bhoslib,486,4,3,454.924501
p_hat1500-1,dimacs,487,21,13,805.676201
C250.9,dimacs,488,2,2,89.704202
johnson32-2-4,dimacs,489,3,3,346.341901
C125.9,dimacs,490,2,2,35.152101
keller5,dimacs,491,4,4,614.298901
frb40-19-3,bhoslib,492,5,3,666.604201
C500.9,dimacs,493,2,2,310.019501
frb59-26-3,bhoslib,494,4,3,2848.726001
frb53-24-4,bhoslib,495,4,4,1913.631701
frb45-21-3,bhoslib,496,3,3,1040.158801
gen200_p0.9_55,dimacs,497,2,2,121.1386
gen400_p0.9_65,dimacs,498,2,2,248.222701
C2000.9,dimacs,499,3,3,4990.558602
keller6,dimacs,500,4,4,13394.483901
frb40-19-5,bhoslib,501,4,3,711.978001
frb59-26-2,bhoslib,502,4,3,2844.481401
C125.9,dimacs,503,2,2,35.6107
frb53-24-1,bhoslib,504,4,3,1922.483102
san400_0.5_1,dimacs,505,13,9,127.5389
p_hat300-3,dimacs,506,4,3,104.7843
MANN_a45,dimacs,507,2,2,1428.628801
p_hat700-2,dimacs,508,13,5,337.775001
frb40-19-1,bhoslib,509,4,3,665.9768
san200_0.9_1,dimacs,510,2,2,63.548602
san200_0.9_2,dimacs,511,2,2,63.792801
C500.9,dimacs,512,2,2,324.590401
frb59-26-3,bhoslib,513,4,3,2847.414501
johnson8-4-4,dimacs,514,5,3,22.585602
frb59-26-4,bhoslib,515,5,3,2954.113601
frb53-24-3,bhoslib,516,5,3,1982.256001
p_hat1500-3,dimacs,517,4,4,2497.559301
hamming6-2,dimacs,518,2,2,23.106701
frb50-23-2,bhoslib,519,7,3,1610.404801
gen400_p0.9_75,dimacs,520,2,2,206.413902
san200_0.7_1,dimacs,521,3,2,57.053301
MANN_a27,dimacs,522,2,2,266.1508
p_hat300-1,dimacs,523,15,8,51.600601
johnson8-4-4,dimacs,524,5,3,22.649801
brock800_2,dimacs,525,6,4,583.961001
p_hat1500-1,dimacs,526,19,14,855.113701
san200_0.9_1,dimacs,527,2,2,68.326401
frb100-40,bhoslib,528,5,3,21610.126201
MANN_a9,dimacs,529,2,2,19.2099
frb50-23-1,bhoslib,530,7,3,1602.047
san400_0.7_2,dimacs,531,4,4,165.209901
MANN_a81,dimacs,532,2,2,15793.9145
p_hat700-3,dimacs,533,4,4,499.495301
p_hat300-3,dimacs,534,4,3,105.334901
frb30-15-3,bhoslib,535,4,3,235.636301
p_hat700-2,dimacs,536,13,5,383.199301
frb59-26-3,bhoslib,537,4,3,2892.338201
frb30-15-1,bhoslib,538,4,3,234.791501
c-fat200-5,dimacs,539,3,3,44.497602
frb45-21-5,bhoslib,540,4,4,1037.077301
frb45-21-1,bhoslib,541,4,3,1035.865801
keller5,dimacs,542,4,4,613.225301
keller6,dimacs,543,4,4,13158.660701
brock400_2,dimacs,544,4,3,174.639601
MANN_a27,dimacs,545,2,2,243.279501
san200_0.9_1,dimacs,546,2,2,74.9066
frb40-19-3,bhoslib,547,5,3,666.578
keller4,dimacs,548,4,4,42.766601
frb59-26-2,bhoslib,549,4,3,2863.425001
p_hat1500-3,dimacs,550,5,4,2354.240101
frb40-19-1,bhoslib,551,4,3,713.415102
san200_0.9_3,dimacs,552,2,2,63.606401
frb53-24-3,bhoslib,553,5,3,1920.2348
brock400_2,dimacs,554,4,3,215.219
p_hat700-3,dimacs,555,4,4,512.900201
p_hat300-1,dimacs,556,15,8,93.03
frb45-21-1,bhoslib,557,4,3,1083.102501
frb56-25-4,bhoslib,558,5,3,2358.571701
gen400_p0.9_75,dimacs,559,2,2,246.932402
frb50-23-2,bhoslib,560,4,4,1552.9273
p_hat300-1,dimacs,561,15,8,94.830401
hamming8-2,dimacs,562,2,2,142.655101
frb35-17-2,bhoslib,563,5,3,475.3631
MANN_a81,dimacs,564,2,2,15852.448801
frb59-26-2,bhoslib,565,4,3,2869.421801
frb45-21-5,bhoslib,566,4,4,1085.9642
brock400_2,dimacs,567,4,3,175.028101
MANN_a45,dimacs,568,2,2,1468.118401
frb100-40,bhoslib,569,5,3,21893.123701
brock200_4,dimacs,570,5,3,52.140101
C4000.5,dimacs,571,9,8,11660.375501
brock200_4,dimacs,572,5,3,52.019201
frb50-23-1,bhoslib,573,7,3,1583.535701
brock800_2,dimacs,574,6,4,620.442001
frb59-26-3,bhoslib,575,4,3,2974.7206
c-fat500-1,dimacs,576,31,31,59.2794
frb40-19-4,bhoslib,577,3,3,687.5219
frb35-17-1,bhoslib,578,4,4,459.2374
frb53-24-5,bhoslib,579,4,3,1967.947802
gen200_p0.9_44,dimacs,580,2,2,63.972902
MANN_a9,dimacs,581,2,2,19.336002
frb30-15-3,bhoslib,582,4,3,237.827201
frb35-17-2,bhoslib,583,5,3,459.694801
frb56-25-1,bhoslib,584,3,3,2464.6837
c-fat200-1,dimacs,585,14,14,31.434401
brock200_4,dimacs,586,5,3,52.6772
frb59-26-5,bhoslib,587,4,3,2976.9523
c-fat500-5,dimacs,588,7,7,88.299201
C2000.5,dimacs,589,8,8,2885.803702
san1000,dimacs,590,23,16,753.165401
frb45-21-1,bhoslib,591,4,3,1067.971701
brock200_4,dimacs,592,5,3,110.1896
MANN_a45,dimacs,593,2,2,1553.946301
frb40-19-3,bhoslib,594,5,3,706.238401
DSJC500.5,dimacs,595,7,5,239.961502
